おべんとう（お弁当）|[名]盒饭
そば|[名]荞麦面
うどん|[名]面条
おやこどん（親子丼）|[名]鸡肉鸡蛋盖饭
カレー|[名]咖喱（饭）
たまご（卵）|[名]鸡蛋
チーズ|[名]干酪
リンゴ|[名]苹果
イチゴ|[名]草莓
そばや（そば屋）|[名]荞麦面馆
テニス|[名]网球
ジョギング|[名]慢跑，跑步
サッカー|[名]足球
やきゅう（野球）|[名]棒球
もうしこみしょ（申込書）|[名]申请书
てかみ（手紙）|[名]信
シーディー（ＣＤ）|[名]CD
おんがく（音楽）|[名]音乐
えいが（映画）|[名]电影
どうぶつえん（動物園）|[名]动物园
バンダ|[名]熊猫
のみます（飲みます）|[动1]喝
かいます（買います）|[动1]买
とります（撮ります）|[动1]拍照，拍摄
かきます（書きます）|[动1]写
よみます（読みます）|[动1]读
ききます（聞きます）|[动1]听
たべます（食べます）|[动2]吃
みます（見ます）|[动2]看
します|[动3]干，做
そうじします（掃除～）|[动3]打扫，扫除
これから|[副]从现在起，今后
じゃあ∕では|[连]那么

いらっしゃいませ|欢迎光临
しつれいします（失礼します）|告辞了，我走了
しつれいしました（失礼しました）|打搅了，失礼了
いってまいります|我走了
いってきます　我走了
いってらっしゃい|你走好
ただいま|我回来了
おかえりなさい（お帰りなさい）|你回来了
かしこまりました|我知道了
おじゃまします（お邪魔します）|打扰了
ください|给我
ごぜんちゅう（午前中）|上午

[第8课]
ブレゼント|[名]礼物
チケット|[名]票
バンフレット|[名]小册子
きねんひん（記念品）|[名]纪念品
スケジュールひょう（～表）|[名]日程表
しゃしんしゅう（写真集）|[名]影集
はな（花）|[名]花
おかね（お金）|[名]钱，金钱
ボールペン|[名]圆珠笔
しゅくだい（宿題）|[名]作业
こうくうびん（航空便）|[名]航空邮件
そくたつ（速達）|[名]速递，快件
ファックス|[名]传真
メール|[名]邮件
でんおばんごう（電話番号）|[名]电话号码
じゅうしょ（住所）|[名]住址
なまえ（名前）|[名]姓名
けん（件）|[名]事件，事情
しんぶんし（新聞紙）|[名]报纸
かみひこうき（紙飛行機）|[名]纸折的飞机
チョコレート|[名]巧克力
アイスクリーム|[名]冰激凌
こむぎこ（小麦粉）|[名]面粉
はし|[名]筷子
スプーン|[名]勺子
おにいさん（お兄さん）|[名]哥哥
かんこくご（韓国語）|[名]韩语
ゆうがた（夕方）|[名]傍晚
ひるやすみ（昼休み）|[名]午休
もらいます|[动1]拿到，得到
あいます（会います）|[动1]见
おくります（送ります）|[动1]寄
つくります（作ります）|[动1]做，制造
ふとります（太ります）|[动1]胖
だします（出します）|[动1]寄（信）
とどきます（届きます）|[动1]收到，送到，寄到
かきます|[动1]画
かします（貸します）|[动1]借出，借给
ならいます（習います）|[动1]学习
あげます|[动2]给
かけます|[动2]打（电话）
かります（借ります）|[动2]（向别人）借
おしえます（教えます）|[动2]教
もう|[副]已经
さっき|[副]刚才
たったいま（たった今）|[副]刚刚
もういちど（もう一度）|[副]再一次
まえに（前に）|[副]以前
ちん（陳）|[专]陈

どうですか|怎样，如何
おねがいします（お願いします）|拜托了
わかりました（分かりました）|明白了
よかったです|太好了
～様さま

[第9课]
りょうり（料理）|[名]菜肴，饭菜
しせんりょうり（四川料理）|[名]四川菜
スーブ|[名]汤
ぺキンダック（北京～）|[名]北京烤鸭
たべもの（食べ物）|[名]食物，食品
すきやき（すき焼き）|[名]日式牛肉火锅
おんせん（温泉）|[名]温泉
おゆ（お湯）|[名]热水，开水
みず（水）|[名]水，凉水
ゆかた（浴衣）|[名]浴衣，夏季和服
ながめ（眺め）|[名]景色，风景
くすり（薬）|[名]药
てんき（天気）|[名]天气
うみ（海）|[名]大海
やま（山）|[名]山
かみ（紙）|[名]纸
ニュース|[名]新闻
じょせい（女性）|[名]女性
おきゃくさま（お客様）|[名]来宾
