うまい|[形1]高明，好吃，可口
くわしい（詳しい）|[形1]详细
じゆう（自由）|[形2]随便，自由
ていねい（丁寧）|[形2]精心，细心，恭敬
きちんと|[副]好好地；正经地
ただし|[连]不过，只是
しかし|[连]可是，但是

きもちわるい（気持ち悪い）|不舒服
～メートル／～つ目
[第32课]
れっしゃ（列車）|[名]火车
こうそくバス（高速～）|[名]高速公共汽车
しゅっぱつじこく（出発時刻）|[名]出发时间
りょこうよてい（旅行予定）|[名]旅行计划
てんきよほう（天気予報）|[名]天气预报
たいふう（台風）|[名]台风
うわさ|[名]传说，风言风语
せんでん（宣伝）|[名]宣传
ばんぐみ（番組）|[名]节目
しんがた（新型）|[名]新型
ボーナス|[名]奖金
ラーメン|[名]面条
ぎゅうにゅう（牛乳）|[名]牛奶
ギョーザパーテイー（饺子～）|[名]饺子宴
しょうがつやすみ（正月休み）|[名]新年假日
スポーツようひん（～用品）|[名]体育用品
インフルエンザ|[名]流感，流行性感冒
してん（支店）|[名]分店，分公司
しょうがっこう（小学校）|[名]小学
ゆうえんち（遊園地）|[名]游乐园
しゅしょう（首相）|[名]首相
れきし（歴史）|[名]历史
かのじょ（彼女）|[代]她
おこないます（行います）|[动1]开，举行
あがります（上がります）|[动1]提高，涨
のりかえます（乗り換えます）|[动2]换乘
やめます（辞めます）|[动2]辞去
りゅうがくします（留学～）|[动3]留学
にゅうがくします（入学～）|[动3]入学
りゅうこうします（流行～）|[动3]流行
にゅういんします（入院～）|[动3]住院
おじゃまします（お邪魔～）|[动3]打扰，拜访
たんとうします（担当～）|[动3]承担
つよい（強い）|[形1]强，坚强
きさく（気さく）|[形2]爽快，坦率
いろんな|[连体]各种各样的
ずっと|[副]一直，始终
りゅうえい（劉英）|[专]刘英
タイ|[专]泰国
きょうとホテル（京都～）|[专]京都宾馆

おじゃましました（お邪魔しました）|打扰了
かぜがつよい（風が強い）|风大
[第33课]
スーツケース|[名]旅行箱
トランク|[名]后备箱；手提箱，皮箱
スーツ|[名]西服，女套装
ズボン|[名]裤子
テイーシャツ（T～）|[名]T恤衫
サンダル|[名]凉鞋
ぼうし（帽子）|[名]帽子
うでどけい（腕時計）|[名]手表
こもの（小物）|[名]小东西，细小的附件
うんてんしゅ（運転手）|[名]司机
から（空）|[名]空
うんどうかい（運動会）|[名]运动会
チーム|[名]队，团体
さいご（最後）|[名]最后
さいかい（再会）|[名]重逢，再会
ひさしぶり（久しぶり）|[名]好久不见
カキ|[名]柿子
せいりょういんりょうすい（清涼飲料水）|[名]清凉饮料
しまります（閉まります）|[动1]关闭，关
こわします（壊します）|[动1]弄坏
わります（割ります）|[动1]割开，打破，打坏
つきます（付きます）|[动1]附带，附加
かかります（掛かります）|[动1]挂，悬挂
よごします（汚します）|[动1]弄脏
やみます|[动1]停，停息，停止
たちます（建ちます）|[动1]盖，建
ならびます（並びます）|[动1]排队，排，列队
つきます（着きます）|[动1]到，到达
かぶります|[动1]戴
はきます|[动1]穿（鞋，裤子）
かいます（飼います）|[动1]饲养
きえます（消えます）|[动2]熄灭，消失
かけます（掛けます）|[动2]挂
おちます（落ちます）|[动2]落下，掉
われます（割れます）|[动2]裂开，破裂
たてます（建てます）|[动2]盖，建造
まけます（負けます）|[动2]输，败
よごれます（汚れます）|[动2]脏
えらい（偉い）|[形1]了不起，伟大
らく（楽）|[形2]容易，简易；快乐，轻松
ざんねん（残念）|[形2]可惜，遗憾
きゅうに（急に）|[副]突然
ぜんぶ（全部）|[副]全部
あいかわらず（相変わらず）|[副]照旧，依然
うっかり|[副]不留神，不注意
それにすても|[连]即便那样，话虽如此

おひさしぶりです（お久しぶりです）|好久不见
[第34课]
カレンダー|[名]挂历，日历
ポスター|[名]宣传画，海报
ハードスケジュール|[名]紧张的日程
カレーライス|[名]咖喱饭
よっておき|[名]珍藏，私藏
ほんば（本場）|[名]原产地，发源地
げんかん（玄関）|[名]门口，玄关
ロッカー|[名]橱柜，文件柜
バッグ|[名]包，手提包
りょこうしゃ(旅行者)|[名]旅行社
しさつだん(視察団)|[名]视察团
とうちゃく(到着)|[名]到达，抵达
かえり(帰り)|[名]回程，返回，回家
もちかえり(持ち帰り)|[名]打包，带回
じこ(事故)|[名]事故
はなたば(花束)|[名]花束
はっぴょうかい(発表会)|[名]发布会
ろんぶん(論文)|[名]论文
ダイエット|[名]减肥
オリンピック|[名]奥运会，奥林匹克
あちこち／あっちこっち|[代]到处，处处
やきます(焼きます)|[动1]烤，烧，烧毁
かせぎます(稼ぎます)|[动1]挣钱，赚钱
のこります(残ります)|[动1]剩余，剩下
つつみます(包みます)|[动1]卷，包裹
たのみます(頼みます)|[动1]点（菜）；请求；托付
はります|[动1]粘，贴
かざります(飾ります)|[动1]装饰
しまいます|[动1]收拾起来，放到～里边
あいます(合います)|[动1]合适，适合
もどします(戻します)|[动1]放回，返还，返回
ためます|[动2]积攒，储存
ならべます(並べます)|[动2]排列
あずけます(預けます)|[动2]寄存，托付
つづけます(続けます)|[动2]继续，持续
やせます|[动2]瘦
ほうもんします(訪問～)|[动3]拜访，访问
ちょきんします(貯金～)|[动3]存钱，储蓄
かんげいします(歓迎～)|[动3]欢迎
よういします(用意～)|[动3]准备
おかしい|[形1]奇怪，可笑，不正常
ひどい|[形1]严重，厉害
もったいない|[形1]可惜，浪费，过分
ゆうしゅう(優秀)|[形2]优秀，优异
さいこう(最高)|[形2]最好，最高
しっかり|[副]充分，充足
ひじょうに(非常に)|[副]非常
こんなに|[副]这么，这样地
いっしょうけんめい(一生懸命)|[副]拼命地，努力地
うわあ|[叹]哇

このまま|就这样，照这样，如此
いただきます|我吃了，（我）开始吃了
えんりょなく(遠慮なく)|不客气
～部
[第35课]
マラソンたいかい(～大会)|[名]马拉松大会
ホームパーテイー|[名]家庭聚会
ゴーカート|[名]游戏汽车，玩具汽车
テレビゲーム|[名]电子游戏
ちゅうし(中止)|[名]中止，中顿
ひょうげん(表現)|[名]表达，表现
はんたい(反対)|[名]反对
えいぎょう（営業）|[名]营业
ざいこ（在庫）|[名]库存，存货
おとな（大人）|[名]大人，成人
おじ|[名]叔叔，伯伯，舅舅
しょうがくせい（小学生）|[名]小学生
うちゅうひこうし（宇宙飛行士）|[名]宇航员
カタログ|[名]目录
たからくじ（宝くじ）|[名]彩票
せいせき（成績）|[名]成绩
けいさん（計算）|[名]计算
けしゴム（消し～）|[名]橡皮
は（歯）|[名]叶子
ビタミンざい（～剤）|[名]维生素片剂
ちゅうこ（中古）|[名]二手货，旧货
きかい（機会）|[名]机会
きゅうじつ（休日）|[名]休息日，假日
こんかい（今回）|[名]这次，这回
こんげつ（今月）|[名]这个月
さいしゅうてんけん（最終点検）|[名]最终检查
ききます（効きます）|[动1]有效，起作用
いわいます（祝います）|[动1]祝贺
あたります（当たります）|[动1]中（彩），抽中
あきます（空きます）|[动1]空，有空
くさります（腐ります）|[动1]腐烂，腐败
みつけます（見つけます）|[动2]找到，发现，看见
はれます（晴れます）|[动2]晴朗，天晴
たずねます（訪ねます）|[动2]访问，拜访
たいざいします（滞在～）|[动3]停留，滞留
きゅうけいします（休憩～）|[动3]休息
さんかします（参加～）|[动3]参加
かんぱいします（乾杯～）|[动3]干杯
へん|[形2]不恰当，奇怪，反常
かんぜん（完全）|[形2]充分，完全
ひつよう（必要）|[形2]必要，必须
だんだん|[副]渐渐地，逐渐地
もし|[副]如果，假如

あと～/～曲
[第36课]
さいしょ（最初）|[名]开始的时候，最初
しゅっしん（出身）|[名]出生地
こうじょう（工場）|[名]工厂
えんとつ（煙突）|[名]烟筒
フライパン|[名]平底锅
たまごやき（卵焼き）|[名]煎鸡蛋
グラウンド|[名]操场，运动场
おくじょう（屋上）|[名]屋顶上，屋顶
たこ（凧）|[名]风筝
テープ|[名]磁带，音像带
どくしょ（読書）|[名]读书
しんせい（申請）|[名]申请
かんさいべん（関西弁）|[名]关西话，关西方言
にちじょうかいわ（日常会話）|[名]日常会话
にほんぶんか（日本文化）|[名]日本文化
せいさんコスト（生産～）|[名]生产成本
こうつうじこ（交通事故）|[名]交通事故
ごしゅじん（ご主人）|[名]您丈夫，您先生
はかりうり（量り売り）|[名]称斤卖，论重量卖
わらいごえ（笑い声）|[名]笑声
もちあるきます（持ち歩きます）|[动1]携带，拿着走
くりかえします（繰り返します）|[动1]反复
さわぎます（騒ぎます）|[动1]吵嚷，吵闹
